IDATid,Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID,SNPid,SAMPLE_ID,INVENTORY_SAMPLE_NAME,SampleType,Plate,GreenIDAT,RedIDAT
5495348048_R02C01,Unk1,5495348048,R02C01,_ega-box-147_5495348048_R02C01,WG0100384.DNAB02,603258,LXFL529,CellLine,WG0100384,5495348048_R02C01_Grn.idat,5495348048_R02C01_Red.idat
5495348048_R04C01,Unk2,5495348048,R04C01,_ega-box-147_5495348048_R04C01,WG0100384.DNAC02,603271,NCI-H1155,CellLine,WG0100384,5495348048_R04C01_Grn.idat,5495348048_R04C01_Red.idat
5636622001_R02C01,Unk3,5636622001,R02C01,_ega-box-147_5636622001_R02C01,WG0100384.DNAB10,603267,NCI-H358,CellLine,WG0100384,5636622001_R02C01_Grn.idat,5636622001_R02C01_Red.idat
5636622018_R01C01,Unk4,5636622018,R01C01,_ega-box-147_5636622018_R01C01,WG0100384.DNAB11,603261,NCI-H650,CellLine,WG0100384,5636622018_R01C01_Grn.idat,5636622018_R01C01_Red.idat
5636622018_R02C01,Unk5,5636622018,R02C01,_ega-box-147_5636622018_R02C01,WG0100384.DNAB12,603259,H322T,CellLine,WG0100384,5636622018_R02C01_Grn.idat,5636622018_R02C01_Red.idat
5636622199_R04C01,Unk6,5636622199,R04C01,_ega-box-147_5636622199_R04C01,WG0100384.DNAC08,603272,NCI-H2073,CellLine,WG0100384,5636622199_R04C01_Grn.idat,5636622199_R04C01_Red.idat
5636622201_R01C01,Unk7,5636622201,R01C01,_ega-box-147_5636622201_R01C01,WG0100384.DNAB05,603265,NCI-H1299,CellLine,WG0100384,5636622201_R01C01_Grn.idat,5636622201_R01C01_Red.idat
5636622201_R03C01,Unk8,5636622201,R03C01,_ega-box-147_5636622201_R03C01,WG0100384.DNAC05,603268,NCI-H226,CellLine,WG0100384,5636622201_R03C01_Grn.idat,5636622201_R03C01_Red.idat
5745167002_R02C01,Unk9,5745167002,r02c01,_ega-box-147_5745167002_r02c01,WG0117620.DNAG02,587503,KM-12,CellLine,WG0117620,5745167002_r02c01_grn.idat,5745167002_r02c01_red.idat
5745167002_R04C01,Unk10,5745167002,r04c01,_ega-box-147_5745167002_r04c01,WG0117620.DNAH02,587504,LoVo,CellLine,WG0117620,5745167002_r04c01_grn.idat,5745167002_r04c01_red.idat
5745167004_R01C01,Unk11,5745167004,r01c01,_ega-box-147_5745167004_r01c01,WG0117620.DNAE11,587617,JeKo-1,CellLine,WG0117620,5745167004_r01c01_grn.idat,5745167004_r01c01_red.idat
5745167004_R02C01,Unk12,5745167004,r02c01,_ega-box-147_5745167004_r02c01,WG0117620.DNAG11,587619,KARPAS-1106P,CellLine,WG0117620,5745167004_r02c01_grn.idat,5745167004_r02c01_red.idat
5745167004_R03C01,Unk13,5745167004,r03c01,_ega-box-147_5745167004_r03c01,WG0117620.DNAF11,587618,Jiyoye,CellLine,WG0117620,5745167004_r03c01_grn.idat,5745167004_r03c01_red.idat
5745167004_R04C01,Unk14,5745167004,r04c01,_ega-box-147_5745167004_r04c01,WG0117620.DNAH11,587620,Karpas-422,CellLine,WG0117620,5745167004_r04c01_grn.idat,5745167004_r04c01_red.idat
5745167005_R01C01,Unk15,5745167005,r01c01,_ega-box-147_5745167005_r01c01,WG0117620.DNAA02,587497,DLD-1,CellLine,WG0117620,5745167005_r01c01_grn.idat,5745167005_r01c01_red.idat
5745167005_R02C01,Unk16,5745167005,r02c01,_ega-box-147_5745167005_r02c01,WG0117620.DNAC02,587499,HCT-15,CellLine,WG0117620,5745167005_r02c01_grn.idat,5745167005_r02c01_red.idat
5745167005_R04C01,Unk17,5745167005,r04c01,_ega-box-147_5745167005_r04c01,WG0117620.DNAD02,587500,HCT-8,CellLine,WG0117620,5745167005_r04c01_grn.idat,5745167005_r04c01_red.idat
5745167006_R01C01,Unk18,5745167006,r01c01,_ega-box-147_5745167006_r01c01,WG0117620.DNAA06,587536,H1573,CellLine,WG0117620,5745167006_r01c01_grn.idat,5745167006_r01c01_red.idat
5745167006_R02C01,Unk19,5745167006,r02c01,_ega-box-147_5745167006_r02c01,WG0117620.DNAC06,587538,H1792,CellLine,WG0117620,5745167006_r02c01_grn.idat,5745167006_r02c01_red.idat
5745167006_R03C01,Unk20,5745167006,r03c01,_ega-box-147_5745167006_r03c01,WG0117620.DNAB06,587537,H1693,CellLine,WG0117620,5745167006_r03c01_grn.idat,5745167006_r03c01_red.idat
5745167006_R04C01,Unk21,5745167006,r04c01,_ega-box-147_5745167006_r04c01,WG0117620.DNAD06,587541,HCC-15,CellLine,WG0117620,5745167006_r04c01_grn.idat,5745167006_r04c01_red.idat
5745167007_R01C01,Unk22,5745167007,r01c01,_ega-box-147_5745167007_r01c01,WG0117620.DNAE10,587609,EB-3,CellLine,WG0117620,5745167007_r01c01_grn.idat,5745167007_r01c01_red.idat
5745167007_R02C01,Unk23,5745167007,r02c01,_ega-box-147_5745167007_r02c01,WG0117620.DNAG10,587611,Farage,CellLine,WG0117620,5745167007_r02c01_grn.idat,5745167007_r02c01_red.idat
5745167007_R03C01,Unk24,5745167007,r03c01,_ega-box-147_5745167007_r03c01,WG0117620.DNAF10,587610,EB1,CellLine,WG0117620,5745167007_r03c01_grn.idat,5745167007_r03c01_red.idat
5745167007_R04C01,Unk25,5745167007,r04c01,_ega-box-147_5745167007_r04c01,WG0117620.DNAH10,587612,GA-10,CellLine,WG0117620,5745167007_r04c01_grn.idat,5745167007_r04c01_red.idat
5745167008_R02C01,Unk26,5745167008,r02c01,_ega-box-147_5745167008_r02c01,WG0117620.DNAC01,587491,COLO 320DM,CellLine,WG0117620,5745167008_r02c01_grn.idat,5745167008_r02c01_red.idat
5745167008_R04C01,Unk27,5745167008,r04c01,_ega-box-147_5745167008_r04c01,WG0117620.DNAD01,587492,COLO 741,CellLine,WG0117620,5745167008_r04c01_grn.idat,5745167008_r04c01_red.idat
