Data.type,Datasets,Dataset.Type,Data.update,URL,URL2,URL3
BAF,GDSC/CCLE/GNE,BAF,June 30 2020,https://zenodo.org/record/3891805/files/ref-baf.bin,https://zenodo.org/record/3891805/files/ref-baf.desc,https://zenodo.org/record/3891805/files/ref_baf-ids.rds
META.DF,GDSC/CCLE/GNE,Metadata,June 30 2020,https://zenodo.org/record/3891805/files/meta.df.rda,,
AFFY.OMNI,GNE,Mapping,June 30 2020,https://zenodo.org/record/3891805/files/affy.omni.rda,,
CIN70,NA,Genes,June 30 2020,https://zenodo.org/record/3891805/files/cin70.rda,,
GNE.META,GNE,Metadata,June 30 2020,https://zenodo.org/record/3891805/files/gne.meta.rda,,
MELT.CELLS,GDSC/CCLE/GNE,Mapping,June 30 2020,https://zenodo.org/record/3891805/files/melt.cells.rda,,
SNP6.DAT,CCLE/GDSC,Probeset,June 30 2020,https://zenodo.org/record/3891805/files/snp6.dat.rda,,
5000.BAF,GDSC/CCLE/GNE,Variance,June 30 2020,https://zenodo.org/record/3891805/files/5000.BAF.rds,,
10000.BAF,GDSC/CCLE/GNE,Variance,June 30 2020,https://zenodo.org/record/3891805/files/10000.BAF.rds,,
50000.BAF,GDSC/CCLE/GNE,Variance,June 30 2020,https://zenodo.org/record/3891805/files/50000.BAF.rds,,
100000.BAF,GDSC/CCLE/GNE,Variance,June 30 2020,https://zenodo.org/record/3891805/files/100000.BAF.rds,,
500000.BAF,GDSC/CCLE/GNE,Variance,June 30 2020,https://zenodo.org/record/3891805/files/500000.BAF.rds,,
