ID,PharmacoGX_ID
105KC,#N/A
1321N1,#N/A
143B,143B
201T,201T
22Rv1,22Rv1
23132-87,23132/87
42-MG-BA,42-MG-BA
451Lu,451Lu
501A,#N/A
537-MEL,#N/A
5637,5637
59M,#N/A
624-mel,#N/A
639-V,#N/A
647-V,647V
697,697
769-P,769-P
786-0,786-O
8-MG-BA,8-MG-BA
8305C,8305C
8505C,8505C
888,#N/A
928-MEL,#N/A
A-204,A-204
A-253,A-253
A-375,A-375
A-427,A-427
A-431,A-431
A-498,A-498
A-673,A-673
A-704,A-704
A101D,A101D
A172,A-172
A2058,A2058
A2780,A2780
A2780ADR,#N/A
A3-KAW,A3/Kawakami
A388,A-388
A4-Fuk,A4/Fukuda
A549,A-549
ABC-1,ABC-1
ACC-MESO-1,ACC-MESO-1
ACHN,ACHN
ACN,ACN
AGS,AGS
Alexander-cells,#N/A
ALL-PO,ALL-PO
ALL-SIL,ALL-SIL
AM-38,AM-38
AML-193,AML-193
AMO-1,AMO1
AN3-CA,AN3-CA
ARH-77,ARH-77
ASH-3,ASH-3
AsPC-1,AsPC-1
ATN-1,ATN-1
ATRFLOX,#N/A
AU565,AU565
AZ-521,#N/A
B-CPAP,B-CPAP
BALL-1,BALL-1
BB30-HNC,BB30-HNC
BB49-HNC,BB49-HNC
BB65-RCC,BB65-RCC
BC-1,BC-1
BC-3,BC-3
BC-3C,BC-3C
BCP-1,BCP-1
BDCM,BDCM
BE-13,BE-13
BE2-M17,#N/A
Becker,Becker
BEN,BEN
BFTC-905,BFTC-905
BFTC-909,BFTC-909
BHT-101,BHT-101
BHY,BHY
BICR-10,BICR 10
BICR-18,BICR 18
BICR-22,BICR 22
BICR-31,BICR 31
BICR-56,BICR 56
BICR-6,BICR 6
BICR-78,BICR 78
BJ-hTERT,#N/A
BJAB,#N/A
BL-41,BL-41
BL-70,BL-70
BONNA-12,BONNA-12
BPH-1,BPH-1
BT-20,BT-20
BT-474,BT-474
BT-483,BT-483
BT-549,BT-549
BV-173,BV-173
BxPC-3,BxPC-3
C-33-A,C-33 A
C-4-I,C-4-I
C170,#N/A
C2BBe1,C2BBe1
C32,C32 [Human melanoma]
C32TG,#N/A
C3A,#N/A
Ca-Ski,Ca Ski
CA46,CA46
Ca9-22,Ca9-22
CACO2,#N/A
CADO-ES1,CADO-ES1
Caki-1,Caki-1
Caki-2,Caki-2
CAL-120,CAL-120
CAL-12T,CAL-12T
CAL-148,CAL-148
CAL-27,CAL-27
CAL-29,CAL-29
CAL-33,CAL-33
CAL-51,CAL-51
CAL-54,CAL-54
CAL-62,CAL-62
CAL-72,CAL-72
CAL-78,CAL-78
