simpleid,ID,CVCL,GDSC,CCLE,GNE,PharmacoGX_ID,SRR,EGAF,EGAN,gCSI_RNA
105KC,105KC,CVCL_M605,NA,NA,Unk593,NA,NA,NA,NA,636792_1
1321N1,1321N1,CVCL_0110,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E09_293392,NA,NA,NA,NA,NA,NA
143B,143B,CVCL_2270,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D02_464552,Unk332,143B,NA,EGAF00000773580,EGAN00001236645,636117_1
201T,201T,CVCL_X481,201T.cel,NA,NA,201T,NA,EGAF00000765137,EGAN00001236652,NA
22RV1,22Rv1,CVCL_1045,22RV1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674,NA,22Rv1,SRR8616169,NA,NA,NA
2313287,23132-87,CVCL_1046,23132-87.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336,Unk78,23132/87,SRR8616168,NA,NA,587011_1
253J,253J,CVCL_7935,NA,NA,NA,NA,SRR8616166,NA,NA,NA
253JBV,253J-BV,CVCL_7936,NA,NA,NA,NA,SRR8616167,NA,NA,NA
42MGBA,42-MG-BA,CVCL_1798,42-MG-BA.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E05_293384,NA,42-MG-BA,SRR8616173,NA,NA,NA
451LU,451Lu,CVCL_6357,451Lu.cel,NA,NA,451Lu,NA,EGAF00000800429,EGAN00001252803,NA
501A,501A,CVCL_0V14,NA,NA,Unk248,NA,NA,NA,NA,587714_1
537MEL,537-MEL,CVCL_8052,NA,NA,Unk249,NA,NA,NA,NA,587715_1
5637,5637,CVCL_0126,5637.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366,NA,5637,SRR8616172,NA,NA,NA
59M,59M,CVCL_2291,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F10_578312,Unk211,NA,SRR8616171,NA,NA,587665_1
624MEL,624-mel,CVCL_8054,NA,NA,Unk250,NA,NA,NA,NA,587720_1
639V,639-V,CVCL_1048,639-V.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718,NA,NA,SRR8616170,NA,NA,NA
647V,647-V,CVCL_1049,647-V.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896,NA,647V,SRR8616165,NA,NA,NA
697,697,CVCL_0079,697.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410,NA,697,SRR8616164,NA,NA,NA
769P,769-P,CVCL_1050,769-P.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342,Unk409,769-P,SRR8615643,NA,NA,636056_1
7860,786-0,CVCL_1051,786-0.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120,Unk408,786-O,NA,NA,NA,636057_1
8305C,8305C,CVCL_1053,8305C.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562,NA,8305C,SRR8615645,NA,NA,NA
8505C,8505C,CVCL_1054,8505C.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702,NA,8505C,SRR8615644,NA,NA,NA
888,888,CVCL_4632,NA,NA,Unk251,NA,NA,NA,NA,587721_1
8MGBA,8-MG-BA,CVCL_1052,8-MG-BA.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396,NA,8-MG-BA,SRR8615647,NA,NA,NA
928MEL,928-MEL,CVCL_C694,NA,NA,Unk252,NA,NA,NA,NA,587722_1
A101D,A101D,CVCL_1057,A101D.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698,NA,A101D,SRR8615646,NA,NA,NA
A1207,A-1207,CVCL_8481,NA,NA,NA,NA,SRR8615649,NA,NA,NA
A172,A172,CVCL_0131,A172.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348,Unk349,A-172,SRR8615648,NA,NA,636120_1
A204,A-204,CVCL_1058,A204.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284,NA,A-204,SRR8615638,NA,NA,NA
A2058,A2058,CVCL_1059,A2058.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800,Unk253,A2058,SRR8615637,NA,NA,587724_1
A253,A-253,CVCL_1060,A253.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754,NA,A-253,SRR8616018,NA,NA,NA
A2780,A2780,CVCL_0134,A2780.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002,Unk124,A2780,SRR8616019,NA,NA,586986_1
A2780ADR,A2780ADR,CVCL_1941,NA,NA,NA,NA,NA,NA,NA,NA
A375,A-375,CVCL_0132,A375.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438,Unk548,A-375,SRR8616020,NA,NA,636201_1
A388,A388,CVCL_1063,A388.cel,NA,NA,A-388,NA,EGAF00000800430,EGAN00001252804,NA
A3KAW,A3-KAW,CVCL_1062,A3-KAW.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936,Unk64,A3/Kawakami,SRR8616021,NA,NA,587602_1
A427,A-427,CVCL_1055,A427.cel,NA,Unk99,A-427,SRR8616014,EGAF00000765138,EGAN00001236653,587523_1
A431,A-431,CVCL_0037,A431.cel,NA,Unk517,A-431,NA,EGAF00000813782,EGAN00001252805,636086_1
A431,A-431,CVCL_0037,A431.cel,NA,Unk517,A-431,NA,EGAF00000813782,EGAN00001252805,636086_1
A431,A-431,CVCL_0037,A431.cel,NA,Unk517,A-431,NA,EGAF00000800431,EGAN00001252805,636086_1
A431,A-431,CVCL_0037,A431.cel,NA,Unk517,A-431,NA,EGAF00000800431,EGAN00001252805,636086_1
A498,A-498,CVCL_1056,A498.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284,Unk622,A-498,SRR8616015,NA,NA,639179_1
A4FUK,A4-Fuk,CVCL_1064,A4-Fuk.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926,Unk63,A4/Fukuda,SRR8616016,NA,NA,587603_1
A549,A549,CVCL_0023,A549.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036,Unk304,A-549,SRR8616017,NA,NA,635619_1
A673,A-673,CVCL_0080,A673.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282,Unk292,A-673,SRR8616012,NA,NA,636052_1
A704,A-704,CVCL_1065,A704.cel,SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962,NA,A-704,SRR8616013,NA,NA,NA
ABC1,ABC-1,CVCL_1066,ABC-1.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226,Unk305,ABC-1,SRR8615407,NA,NA,635620_1
ACCMESO1,ACC-MESO-1,CVCL_5113,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G01_592656,NA,ACC-MESO-1,SRR8615406,NA,NA,NA
ACHN,ACHN,CVCL_1067,ACHN.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310,Unk522,ACHN,SRR8615405,NA,NA,636817_1
ACN,ACN,CVCL_1068,ACN.cel,NA,NA,ACN,NA,EGAF00000867565,EGAN00001266282,NA
AGS,AGS,CVCL_0139,AGS.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380,Unk104,AGS,SRR8615404,NA,NA,587005_1
ALEXANDERCELLS,Alexander-cells,CVCL_0485,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A04_437346,NA,NA,NA,NA,NA,NA
ALLPO,ALL-PO,CVCL_1069,ALL-PO.cel,NA,NA,ALL-PO,NA,EGAF00000836387,EGAN00001266058,NA
ALLSIL,ALL-SIL,CVCL_1805,ALL-SIL.cel,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C09_780208,NA,ALL-SIL,SRR8615411,NA,NA,NA
